,GEOID_COUSUB,med_hh_inc
491,0600000US5119194463,54932
492,0600000US5119194727,50429
493,0600000US5119196047,40691
494,0600000US5119196143,41353
495,0600000US5119196415,51413
496,0600000US5119390976,53309
497,0600000US5119394751,55691
498,0600000US5119396255,55570
499,0600000US5119591288,34603
500,0600000US5119591438,40155
501,0600000US5119591588,44701
502,0600000US5119591738,34851
503,0600000US5119790304,47201
504,0600000US5119793471,42349
505,0600000US5119793615,53074
506,0600000US5119794183,38649
507,0600000US5119795823,48374
508,0600000US5119796343,49132
509,0600000US5119991290,86554
510,0600000US5119991440,93969
511,0600000US5119991590,74821
512,0600000US5119991740,96857
513,0600000US5119991890,94640
514,0600000US5151090020,96733
515,0600000US5152090484,37904
516,0600000US5153090556,34273
517,0600000US5154090780,58933
518,0600000US5155090812,75790
519,0600000US5157090948,53716
520,0600000US5158091020,39432
521,0600000US5159091108,36301
522,0600000US5159593491,30857
523,0600000US5160093507,111574
524,0600000US5161093531,124796
525,0600000US5162093643,40375
526,0600000US5163093651,63274
527,0600000US5164093675,31938
528,0600000US5165093827,54550
529,0600000US5166093859,43893
530,0600000US5167093915,40497
531,0600000US5167894275,36466
532,0600000US5168094403,43374
533,0600000US5168394474,78462
534,0600000US5168594476,80667
535,0600000US5169094537,33224
536,0600000US5170094851,51884
537,0600000US5171094875,49146
538,0600000US5172094931,28071
539,0600000US5173095035,36135
540,0600000US5173595115,96831
541,0600000US5174095123,50224
542,0600000US5175095211,36743
543,0600000US5176095291,45117
544,0600000US5177095363,43028
545,0600000US5177595547,57185
546,0600000US5179095875,48049
547,0600000US5180095987,70664
548,0600000US5181096187,74186
549,0600000US5182096275,45738
550,0600000US5183096395,56163
551,0600000US5184096427,53797
552,0600000US1300190078,58152
553,0600000US1300190240,35893
554,0600000US1300190273,41281
555,0600000US1300192905,43446
556,0600000US1300390180,40662
557,0600000US1300392334,35505
558,0600000US1300393378,31055
559,0600000US1300590072,35475
560,0600000US1300592562,40871
561,0600000US1300792010,42292
562,0600000US1300792160,31481
563,0600000US1300990786,38750
564,0600000US1300990992,55858
565,0600000US1300992015,35846
566,0600000US1301190198,45675
567,0600000US1301191524,43750
568,0600000US1301191956,48304
569,0600000US1301192803,46875
570,0600000US1301390162,62188
571,0600000US1301390264,65607
572,0600000US1301392850,56578
573,0600000US1301393390,50881
574,0600000US1301590024,46799
575,0600000US1301590570,55138
576,0600000US1301591080,48167
577,0600000US1301591104,67578
578,0600000US1301591656,63701
579,0600000US1301593360,67700
580,0600000US1301791176,32016
581,0600000US1301792433,50319
582,0600000US1301990054,40323
583,0600000US1301991092,38933
584,0600000US1301992130,36897
585,0600000US1301992442,31621
586,0600000US1302191794,64046
587,0600000US1302191891,26980
588,0600000US1302191892,36806
589,0600000US1302192634,55043
590,0600000US1302390708,45305
591,0600000US1302392198,41750
592,0600000US1302591500,41462
593,0600000US1302592124,31320
594,0600000US1302593306,39079
595,0600000US1302790222,30915
596,0600000US1302790234,31979
597,0600000US1302790948,36300
598,0600000US1302791086,31750
599,0600000US1302792088,43466
600,0600000US1302792436,30652
601,0600000US1302991236,-
602,0600000US1302992346,49057
603,0600000US1302992514,83095
604,0600000US1303190426,56588
605,0600000US1303192142,47368
606,0600000US1303192400,34853
607,0600000US1303192472,44048
608,0600000US1303192844,37419
609,0600000US1303391296,44911
610,0600000US1303391362,46071
611,0600000US1303391644,41471
612,0600000US1303391992,46964
613,0600000US1303392694,33191
614,0600000US1303393198,43256
615,0600000US1303393300,41340
616,0600000US1303591182,38966
617,0600000US1303591572,38993
618,0600000US1303591602,34063
619,0600000US1303592822,50259
620,0600000US1303593438,55818
621,0600000US1303790120,24750
622,0600000US1303791038,26765
623,0600000US1303791710,40909
624,0600000US1303792076,35509
625,0600000US1303991650,44837
626,0600000US1303992652,62323
627,0600000US1303993408,59239
628,0600000US1304390060,35298
629,0600000US1304391986,28661
630,0600000US1304392430,45938
631,0600000US1304590342,42778
632,0600000US1304590552,48600
633,0600000US1304592112,49940
634,0600000US1304592592,54028
635,0600000US1304592976,51214
636,0600000US1304593216,55005
637,0600000US1304593372,50450
638,0600000US1304790360,64768
639,0600000US1304790582,61161
640,0600000US1304791230,44110
641,0600000US1304792526,63674
642,0600000US1304991194,37423
643,0600000US1304992646,57143
644,0600000US1305192058,85670
645,0600000US1305192393,64411
646,0600000US1305192406,88047
647,0600000US1305192712,40157
648,0600000US1305193127,76725
649,0600000US1305390834,35962
650,0600000US1305391212,54018
651,0600000US1305591788,49024
652,0600000US1305591860,42344
653,0600000US1305591980,34056
654,0600000US1305592892,31853
655,0600000US1305593090,37407
656,0600000US1305790204,71414
657,0600000US1305790540,62616
658,0600000US1305791512,84471
659,0600000US1305791692,111293
660,0600000US1305793234,85045
661,0600000US1305793426,78238
662,0600000US1305990138,35461
663,0600000US1305990318,51854
664,0600000US1305993402,31542
665,0600000US1306190312,30893
666,0600000US1306191218,24395
667,0600000US1306390726,38588
668,0600000US1306391200,43234
669,0600000US1306391620,54707
670,0600000US1306392538,42858
671,0600000US1306591158,19571
672,0600000US1306591530,27438
673,0600000US1306790018,87838
674,0600000US1306790174,55989
675,0600000US1306791140,37100
676,0600000US1306791866,61568
677,0600000US1306791926,58985
678,0600000US1306792202,101772
679,0600000US1306792418,67561
680,0600000US1306792784,66558
681,0600000US1306793222,81620
682,0600000US1306990084,50271
683,0600000US1306990438,37500
684,0600000US1306990972,35331
685,0600000US1306992166,31391
686,0600000US1306993324,46659
687,0600000US1307190258,51250
688,0600000US1307190960,33138
689,0600000US1307191254,37312
690,0600000US1307192100,32417
691,0600000US1307192184,43407
692,0600000US1307390102,69735
693,0600000US1307391110,83662
